episode,return_mean
20808,0.7891
20832,0.7282
20856,0.6105
20880,0.5864
20904,0.8132
20928,0.4818
20952,0.56
20976,0.5683
21000,0.5117
21024,0.3981
21048,0.46
21072,0.4669
21096,0.4909
21120,0.5821
21144,0.5764
21168,0.899
21192,0.8988
21216,0.987
21240,1.0609
21264,1.0244
21288,0.6032
21312,0.5079
21336,0.5159
21360,0.5363
21384,0.4266
21408,0.4239
21432,0.4624
21456,0.4174
21480,0.4122
21504,0.5609
21528,0.7425
21552,0.5833
21576,0.7042
21600,0.503
21624,0.4776
21648,0.2996
21672,0.2831
21696,0.176
21720,0.1702
21744,0.2389
21768,0.3356
21792,0.3021
21816,0.3086
21840,0.5499
21864,0.5858
21888,0.5163
21912,0.5907
21936,0.691
21960,0.6854
21984,0.7125
22008,0.7409
22032,0.72
22056,0.8134
22080,0.6898
22104,0.6632
22128,0.5715
22152,0.5775
22176,0.2734
22200,0.3064
22224,0.1984
22248,0.1914
22272,0.2437
22296,0.5444
22320,0.3323
22344,0.1984
22368,0.2822
22392,0.2187
22416,-0.0698
22440,0.1921
22464,0.2476
22488,0.2019
22512,0.3639
22536,0.5041
22560,0.3415
22584,0.5292
22608,0.4947
22632,0.3843
22656,0.5173
22680,0.4851
22704,0.2679
22728,0.4484
22752,0.4878
22776,0.4029
22800,0.5822
22824,0.7598
22848,0.6461
22872,0.5365
22896,0.4785
22920,0.3034
22944,0.1782
22968,0.3237
22992,0.5067
23016,0.4631
23040,0.6164
23064,0.5989
23088,0.3319
23112,0.4334
23136,0.4119
23160,0.5281
23184,0.5799
23208,0.741
23232,0.5087
23256,0.7723
23280,0.5491
23304,0.5727
23328,0.6712
23352,0.571
23376,0.2467
23400,0.5914
23424,0.6436
23448,0.5381
23472,0.812
23496,0.8408
23520,0.6163
23544,0.4699
23568,0.6246
23592,0.4581
23616,0.48
23640,0.4854
23664,0.5064
23688,0.5697
23712,0.578
23736,0.6299
23760,0.635
23784,0.6638
23808,0.357
23832,0.2424
23856,0.196
23880,0.082
23904,0.1515
