episode,return_mean
28680,-16.4396
28704,-13.9222
28736,-12.6513
28768,-12.2516
28792,-10.4701
28824,-11.0048
28856,-13.577
28888,-14.5741
28912,-13.6328
28936,-13.9781
28968,-14.4705
28992,-13.135
29016,-13.5225
29048,-14.4964
29080,-15.9529
29112,-14.8147
29144,-17.1946
29176,-16.2124
29200,-14.2842
29224,-12.2942
29256,-10.8274
29288,-9.2049
29320,-9.9389
29352,-11.7107
29376,-12.2125
29400,-12.8258
29424,-12.7197
29448,-12.429
29480,-11.4925
29512,-12.1169
29544,-11.5889
29576,-12.3027
29608,-12.4729
29640,-12.6084
29672,-13.2213
29696,-12.9279
29728,-12.7572
29752,-11.1201
29784,-12.154
29816,-11.4659
29848,-13.1499
29872,-12.7476
29904,-14.7054
29936,-14.2963
29960,-14.5654
29992,-14.4515
30024,-15.7406
30056,-15.5948
30080,-14.4187
30104,-13.9269
30136,-14.975
30160,-14.054
30192,-13.7649
30216,-14.0772
30240,-12.8452
30272,-10.792
30304,-11.3775
30336,-12.2296
30368,-14.7594
30400,-16.9836
30424,-16.3069
30448,-15.9976
30480,-15.8896
30512,-14.1041
30536,-14.1104
30560,-13.8082
30592,-13.9778
30616,-12.731
30640,-11.8372
30664,-10.1864
30688,-10.577
30712,-8.6153
30744,-8.9271
30776,-11.1072
30808,-14.2571
30840,-16.2884
30864,-16.8833
30896,-18.354
30928,-17.9621
30952,-16.1176
30976,-15.0212
31008,-18.771
31032,-17.4788
31056,-14.5451
31080,-13.9572
31104,-15.7144
31136,-12.556
31160,-11.9861
31184,-13.2107
31216,-14.188
31240,-11.6608
31264,-10.8901
31288,-9.4866
31312,-8.7908
31336,-7.2177
31368,-8.2727
31400,-9.6297
31432,-12.5615
31456,-13.1695
31480,-13.1534
31504,-11.5409
31536,-12.8886
31568,-13.9232
31600,-15.0981
31632,-16.1723
31664,-17.0957
31688,-14.0763
31720,-12.8421
31752,-12.5841
31784,-12.7553
31816,-14.9422
31848,-17.2183
31880,-16.0768
31912,-16.6728
31944,-17.4503
31968,-14.6887
31992,-13.3725
32024,-13.5788
32048,-12.3823
32080,-10.642
32104,-10.8086
32128,-9.4952
32152,-7.6742
32176,-7.0117
32200,-6.7756
32224,-5.7649
32248,-7.1807
32272,-8.5326
32296,-8.7954
32328,-11.1822
32352,-11.9721
32384,-13.2419
32408,-15.4766
32432,-16.3087
32456,-13.2256
32480,-13.8215
32504,-11.3499
32528,-8.9551
32552,-7.0735
32584,-10.9056
32616,-10.5566
32648,-12.7148
32672,-14.264
32696,-14.425
32728,-12.7879
32760,-13.1853
32792,-12.3913
32824,-13.3624
32856,-15.1357
32888,-14.6407
32920,-15.2394
32952,-15.5529
32976,-13.6322
33008,-15.0661
33040,-14.807
33064,-14.8989
33088,-13.3062
33120,-12.908
33144,-11.5724
33168,-10.44
33192,-10.001
33224,-11.1196
33256,-11.825
33288,-12.8147
33320,-15.7004
33352,-15.6687
33384,-16.3276
33416,-17.4868
33448,-17.8781
33480,-19.1219
